## FlyBase Signaling Pathways report
## Generated: Mon Nov 24 14:13:21 2025
## Using chado datasource: dbi:Pg:dbname=fb_2025_05_reporting;host=flysql25;port=5432

## Where groups are arranged into hierarchies, note that:
## i) the member genes are only associated with the terminal subgroups
## ii) the immediate parent of any subgroup is identified in the 'Parent_FB_group_id' and 'Parent_FB_group_symbol' columns

# FB_group_id	FB_group_symbol	FB_group_name	Parent_FB_group_id	Parent_FB_group_symbol	Group_member_FB_gene_id	Group_member_FB_gene_symbol
FBgg0000934	TORS	TORSO SIGNALING PATHWAY				
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0259685	crb
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0035060	Eps-15
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0031879	uif
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0262455	mir-1
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0002632	E(spl)m6-BFM
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0261983	l(2)gd1
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0029881	pigs
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0039858	CycG
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0034224	insb
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0002629	E(spl)m4-BFM
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0039273	shams
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0002121	l(2)gl
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0265464	Traf6
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0023388	Dap160
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0001169	H
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0003557	Su(dx)
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0002973	numb
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0020224	Cbl
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0013725	phyl
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0262398	mir-124
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0259174	Nedd4
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0010909	msn
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0032499	Uvrag
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0021874	Nle
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0011591	fng
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0040206	krz
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0040487	BobA
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0002732	E(spl)malpha-BFM
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0262432	mir-8
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0034959	Xxylt
