## FlyBase Signaling Pathways report
## Generated: Mon Nov 24 14:13:21 2025
## Using chado datasource: dbi:Pg:dbname=fb_2025_05_reporting;host=flysql25;port=5432

## Where groups are arranged into hierarchies, note that:
## i) the member genes are only associated with the terminal subgroups
## ii) the immediate parent of any subgroup is identified in the 'Parent_FB_group_id' and 'Parent_FB_group_symbol' columns

# FB_group_id	FB_group_symbol	FB_group_name	Parent_FB_group_id	Parent_FB_group_symbol	Group_member_FB_gene_id	Group_member_FB_gene_symbol
FBgg0000934	TORS	TORSO SIGNALING PATHWAY				
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0039025	Usp12-46
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0000524	dx
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0031434	insv
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0052177	Ndfip
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0026320	Tom
FBgg0001063	NTCH-N	NEGATIVE REGULATORS OF NOTCH SIGNALING PATHWAY	FBgg0001068	NTCH	FBgn0260440	spdo
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0003256	rl
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0004636	Rap1
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0004638	drk
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0010269	Dsor1
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0003867	tsl
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0015296	Shc
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0261016	clos
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0004650	fs(1)N
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0003205	Ras85D
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0262582	cic
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0005390	fs(1)M3
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0003733	tor
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0003079	Raf
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0015402	ksr
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0000166	bcd
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0286070	cnk
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0001965	Sos
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0001139	gro
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0000382	csw
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0003751	trk
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0016794	dos
FBgg0000937	TORS-C	TORSO SIGNALING PATHWAY CORE COMPONENTS	FBgg0000934	TORS	FBgn0013323	Ptth
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0036844	Mkp3
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0000547	ed
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0004390	RasGAP1
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0264959	Src42A
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0004368	Ptp4E
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0031627	fipi
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0030685	Graf
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0029778	RhoGAP5A
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0029791	AdamTS-B
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0053543	elff
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0010825	Gug
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0015278	Pi3K68D
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0015399	kek1
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0262448	mir-279
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0023214	edl
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0014388	sty
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0262404	mir-996
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0261985	Ptpmeg
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0020224	Cbl
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0026379	Pten
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0053993	Egfrap
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0010015	CanA1
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0003165	pum
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0263395	hppy
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0262398	mir-124
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0041184	Socs36E
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0260938	tay
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0052406	PVRAP
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0004370	Ptp10D
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0267487	Ptp61F
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0262432	mir-8
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0040271	Sulf1
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0003416	sl
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0040068	Vav
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0000635	Fas2
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0004569	aos
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0041723	rho-5
FBgg0000950	EGFR-N	NEGATIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0086356	tum
FBgg0000889	WNT-TCF	WNT-TCF SIGNALING PATHWAY				
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0000808	gd
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0030926	psh
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0040323	GNBP1
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0043576	PGRP-SC1a
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0040321	GNBP3
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0003450	snk
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0250848	CtsK1
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0039102	SPE
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0039494	grass
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0052382	sphinx2
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0033327	PGRP-SC1b
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0030310	PGRP-SA
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0000533	ea
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0003089	pip
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0030774	sphe
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0030925	Hayan
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0043575	PGRP-SC2
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0051217	modSP
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0030051	spirit
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0027930	MP1
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0002926	ndl
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0052383	sphinx1
FBgg0001056	TL-SPZC	EXTRACELLULAR SPATZLE ACTIVATING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0034511	GNBP-like3
FBgg0001059	TL-CAN	TOLL SIGNALING PATHWAY				
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0016917	Stat92E
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0010315	CycD
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0040308	Prx4
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0290416	mask
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0003391	shg
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0004107	Cdk2
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0051716	Cnot4
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0010382	CycE
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0266410	drn
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0034793	asrij
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0016131	Cdk4
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0015396	jumu
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0011785	BRWD3
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0040087	p115
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0035626	lin-28
FBgg0000882	JAKSTAT-P	POSITIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0285926	Imp
FBgg0001018	HH-PRO	HEDGEHOG PRODUCTION	FBgg0000978	HH-SMO	FBgn0029088	disp
FBgg0001018	HH-PRO	HEDGEHOG PRODUCTION	FBgg0000978	HH-SMO	FBgn0024194	rasp
FBgg0000970	FGFR-P	POSITIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0031745	rau
FBgg0000970	FGFR-P	POSITIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0262733	Src64B
FBgg0000970	FGFR-P	POSITIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0263930	dally
FBgg0000970	FGFR-P	POSITIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0261403	sxc
FBgg0000970	FGFR-P	POSITIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0041604	dlp
FBgg0000970	FGFR-P	POSITIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0284408	trol
FBgg0000970	FGFR-P	POSITIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0036298	nst
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0033607	Uaf1
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0003415	skd
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0260933	rempA
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0004380	Klp64D
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0002431	hyd
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0039054	Cow
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0004611	Plc21C
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0005640	Eip63E
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0046763	peg
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0000524	dx
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0035264	Oseg4
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0037098	Wnk
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0002945	nkd
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0037780	ohgt
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0035142	Hipk
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0039025	Usp12-46
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0265102	Oseg1
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0034709	Swim
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0016977	spen
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0038862	Usp8
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0005427	ewg
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0002413	dco
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0039451	Wdr20
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0028421	Kap3
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0034372	amls
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0263930	dally
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0004103	Pp1-87B
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0027548	nito
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0004889	tws
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0036897	Rnf146
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0260794	ctrip
